id,pilar,serie,titulo_post,pagina_destino,prioridade,frequencia_sugerida,sazonalidade
TP-016,Rotina editorial,Tempo do Dia,"Bom dia, Pelotas: como começa o tempo hoje?",/tempo-hoje-pelotas,Alta,Diária,Todo o ano
TP-017,Rotina editorial,Tempo do Dia,Pelotas agora: o que o céu mostra neste momento,/,Alta,Diária,Todo o ano
TP-018,Rotina editorial,Tempo do Dia,Próximas 6 horas em Pelotas,/meteograma-pelotas,Alta,Diária,Todo o ano
TP-019,Rotina editorial,Tempo do Dia,Resumo da tarde: o tempo mudou?,/tempo-hoje-pelotas,Média,Diária,Todo o ano
TP-020,Rotina editorial,Tempo do Dia,Noite em Pelotas: o que esperar,/meteograma-pelotas,Média,Diária,Todo o ano
TP-021,Rotina editorial,Tempo do Dia,Amanhã em Pelotas: o que já dá para planejar,/tempo-amanha-pelotas,Alta,Diária,Todo o ano
TP-022,Rotina editorial,Tempo do Dia,Semana em Pelotas: visão geral dos próximos 7 dias,/previsao-7-dias-pelotas,Alta,2x por semana,Todo o ano
TP-023,Rotina editorial,Tempo do Dia,Fim de semana em Pelotas,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-024,Rotina editorial,Tempo do Dia,Segunda-feira meteorológica,/previsao-7-dias-pelotas,Média,Semanal,Todo o ano
TP-025,Rotina editorial,Tempo do Dia,Sextou com previsão,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-026,Rotina editorial,Tempo do Dia,Antes do almoço: chuva ou tempo firme?,/chuva-em-pelotas,Média,Diária,Todo o ano
TP-027,Rotina editorial,Tempo do Dia,Antes de dormir: como amanhece Pelotas?,/tempo-amanha-pelotas,Média,Diária,Todo o ano
TP-028,Previsão,Planeje com o Tempo,Vai esfriar nas próximas horas?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-029,Previsão,Planeje com o Tempo,A máxima de hoje ainda vai subir?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-030,Previsão,Planeje com o Tempo,A mínima de amanhã chama atenção?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-031,Previsão,Planeje com o Tempo,Qual é o melhor período do dia para atividades ao ar livre?,/meteograma-pelotas,Alta,Semanal,Todo o ano
TP-032,Previsão,Planeje com o Tempo,"Manhã, tarde ou noite: quando a chance de chuva é maior?",/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-033,Previsão,Planeje com o Tempo,O tempo muda rápido hoje?,/meteograma-pelotas,Alta,Semanal,Todo o ano
TP-034,Previsão,Planeje com o Tempo,Como fica a sensação de frio com vento?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-035,Previsão,Planeje com o Tempo,Planejamento da semana: quais dias tendem a ser mais estáveis?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-036,Previsão,Planeje com o Tempo,Qual dia da semana tende a ser o mais quente?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-037,Previsão,Planeje com o Tempo,Qual dia da semana tende a ser o mais frio?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-038,Previsão,Planeje com o Tempo,Chuva no horizonte: em quais dias aparece?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-039,Previsão,Planeje com o Tempo,Vento no horizonte: quando as rajadas podem aumentar?,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-040,Previsão,Planeje com o Tempo,Previsão para quem trabalha cedo,/meteograma-pelotas,Média,Semanal,Todo o ano
TP-041,Previsão,Planeje com o Tempo,Previsão para quem volta para casa no fim do dia,/meteograma-pelotas,Média,Semanal,Todo o ano
TP-042,Previsão,Planeje com o Tempo,Previsão para ciclistas em Pelotas,/previsao-7-dias-pelotas,Média,Semanal,Todo o ano
TP-043,Previsão,Planeje com o Tempo,Previsão para quem vai ao Laranjal,/previsao-7-dias-pelotas,Média,Semanal,Todo o ano
TP-044,Previsão,Planeje com o Tempo,Previsão para eventos ao ar livre,/previsao-7-dias-pelotas,Média,Semanal,Todo o ano
TP-045,Previsão,Planeje com o Tempo,O que muda de hoje para amanhã?,/tempo-amanha-pelotas,Média,Semanal,Todo o ano
TP-046,Previsão,Planeje com o Tempo,7 dias em 15 segundos,/previsao-7-dias-pelotas,Média,Semanal,Todo o ano
TP-047,Previsão,Planeje com o Tempo,A previsão mudou desde ontem?,/previsao-7-dias-pelotas,Média,Semanal,Todo o ano
TP-048,Chuva,Olho na Chuva,Vai chover hoje em Pelotas?,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-049,Chuva,Olho na Chuva,Que horas a chuva pode chegar?,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-050,Chuva,Olho na Chuva,"Chuva de manhã, tarde ou noite?",/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-051,Chuva,Olho na Chuva,Quanto pode chover nas próximas horas?,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-052,Chuva,Olho na Chuva,Chuva isolada ou período mais persistente?,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-053,Chuva,Olho na Chuva,A chuva passa rápido?,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-054,Chuva,Olho na Chuva,Fim de semana com chuva?,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-055,Chuva,Olho na Chuva,Chuva na região: Pelotas e cidades próximas,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-056,Chuva,Olho na Chuva,Radar agora: onde estão as áreas de chuva?,/radar-e-satelite-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-057,Chuva,Olho na Chuva,Radar x previsão: qual a diferença?,/radar-e-satelite-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-058,Chuva,Olho na Chuva,Por que o radar pode mostrar chuva perto e não chover na sua rua?,/radar-e-satelite-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-059,Chuva,Olho na Chuva,Chuva prevista não é chuva medida,/historico-climatico-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-060,Chuva,Olho na Chuva,Depois da chuva: quanto foi medido?,/historico-climatico-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-061,Chuva,Olho na Chuva,Chuva acumulada nos últimos dias,/historico-climatico-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-062,Chuva,Olho na Chuva,Chuva + vento: combinação para acompanhar,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-063,Chuva,Olho na Chuva,Chuva forte: onde conferir alertas oficiais,/alertas,Alta,Conforme condição,Principalmente dias chuvosos
TP-064,Chuva,Olho na Chuva,Como acompanhar a chuva em tempo real no Tempo Pelotas,/chuva-em-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-065,Chuva,Olho na Chuva,Nuvens chegando: o satélite ajuda a entender o cenário,/radar-e-satelite-pelotas,Alta,Conforme condição,Principalmente dias chuvosos
TP-066,Vento,Vento em Pelotas,Como está o vento em Pelotas agora?,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-067,Vento,Vento em Pelotas,O vento aumenta hoje?,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-068,Vento,Vento em Pelotas,Quando as rajadas ficam mais fortes?,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-069,Vento,Vento em Pelotas,Vento no Laranjal: o que acompanhar antes de ir,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-070,Vento,Vento em Pelotas,"Vento sul, norte ou nordeste: o que o portal mostra?",/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-071,Vento,Vento em Pelotas,Rajada não é vento médio,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-072,Vento,Vento em Pelotas,Dia de vento: previsão x observação,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-073,Vento,Vento em Pelotas,Vento durante a madrugada,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-074,Vento,Vento em Pelotas,Vento no fim de semana,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-075,Vento,Vento em Pelotas,Vento e mudança de temperatura,/vento-em-pelotas,Alta,Conforme condição,Todo o ano
TP-076,Vento,Vento em Pelotas,Vento forte e alertas oficiais,/alertas,Média,Conforme condição,Todo o ano
TP-077,Vento,Vento em Pelotas,Qual período do dia tende a ter menos vento?,/vento-em-pelotas,Média,Conforme condição,Todo o ano
TP-078,Vento,Vento em Pelotas,Como ler a página de vento do Tempo Pelotas,/vento-em-pelotas,Média,Conforme condição,Todo o ano
TP-079,Vento,Vento em Pelotas,Vento na Zona Sul: compare cidades da região,/tempo-na-regiao-sul-rs,Média,Conforme condição,Todo o ano
TP-080,Vento,Vento em Pelotas,O vento mudou de direção?,/vento-em-pelotas,Média,Conforme condição,Todo o ano
TP-081,Vento,Vento em Pelotas,3 coisas para conferir em um dia ventoso,/vento-em-pelotas,Média,Conforme condição,Todo o ano
TP-082,Radar e satélite,Mapa Agora,Radar agora: o que está se aproximando de Pelotas?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-083,Radar e satélite,Mapa Agora,Como ler o radar meteorológico,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-084,Radar e satélite,Mapa Agora,Por que o radar de Santiago pode aparecer no Tempo Pelotas?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-085,Radar e satélite,Mapa Agora,Radar indisponível: o que acontece no portal?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-086,Radar e satélite,Mapa Agora,Satélite realçado: o que você está vendo?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-087,Radar e satélite,Mapa Agora,Satélite infravermelho: para que serve?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-088,Radar e satélite,Mapa Agora,Satélite visível: quando essa imagem faz mais sentido?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-089,Radar e satélite,Mapa Agora,Radar e satélite lado a lado,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-090,Radar e satélite,Mapa Agora,Trovoadas na região: como o Tempo Pelotas monitora,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-091,Radar e satélite,Mapa Agora,Trovoada detectada não é alerta oficial,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-092,Radar e satélite,Mapa Agora,Mapa meteorológico da região em 30 segundos,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-093,Radar e satélite,Mapa Agora,Como usar a timeline do radar,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-094,Radar e satélite,Mapa Agora,O que significa o horário no radar?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-095,Radar e satélite,Mapa Agora,O que significa o horário no satélite?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-096,Radar e satélite,Mapa Agora,A chuva está vindo de onde?,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-097,Radar e satélite,Mapa Agora,Nuvens sobre a Zona Sul,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-098,Radar e satélite,Mapa Agora,Atividade elétrica perto da região,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-099,Radar e satélite,Mapa Agora,Radar + previsão hora a hora,/radar-e-satelite-pelotas,Alta,Conforme condição,Todo o ano
TP-100,Alertas oficiais,Alerta Oficial,Há alerta oficial para Pelotas?,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-101,Alertas oficiais,Alerta Oficial,Alerta oficial x previsão: entenda a diferença,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-102,Alertas oficiais,Alerta Oficial,Como consultar os alertas no Tempo Pelotas,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-103,Alertas oficiais,Alerta Oficial,"O que conferir em um alerta: período, área e órgão emissor",/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-104,Alertas oficiais,Alerta Oficial,Alerta de chuva: confira a fonte oficial,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-105,Alertas oficiais,Alerta Oficial,Alerta de vento: confira a área afetada,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-106,Alertas oficiais,Alerta Oficial,Alerta de tempestade: informação sem alarmismo,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-107,Alertas oficiais,Alerta Oficial,Quando não há alerta oficial,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-108,Alertas oficiais,Alerta Oficial,Radar não substitui alerta oficial,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-109,Alertas oficiais,Alerta Oficial,Trovoadas não substituem alerta oficial,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-110,Alertas oficiais,Alerta Oficial,Alerta acabou? Confira o período de validade,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-111,Alertas oficiais,Alerta Oficial,Alertas para a região: acompanhe também as cidades vizinhas,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-112,Alertas oficiais,Alerta Oficial,Compartilhe alertas com contexto,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-113,Alertas oficiais,Alerta Oficial,Por que o Tempo Pelotas separa alertas de previsão,/alertas,Alta,Conforme emissão,Eventos meteorológicos
TP-114,Observação local,Estação Embrapa,Temperatura medida agora em Pelotas,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-115,Observação local,Estação Embrapa,Previsão x temperatura observada,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-116,Observação local,Estação Embrapa,Quanto choveu de verdade?,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-117,Observação local,Estação Embrapa,Rajada medida na estação,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-118,Observação local,Estação Embrapa,Umidade agora em Pelotas,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-119,Observação local,Estação Embrapa,A estação está atualizada?,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-120,Observação local,Estação Embrapa,Por que o horário da estação importa?,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-121,Observação local,Estação Embrapa,Observação local: o que a Embrapa acrescenta ao portal,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-122,Observação local,Estação Embrapa,Previsão e observação não precisam ser iguais,/estacao-embrapa-pelotas,Alta,Conforme dado,Todo o ano
TP-123,Observação local,Estação Embrapa,O dia esquentou mais ou menos do que o previsto?,/estacao-embrapa-pelotas,Média,Conforme dado,Todo o ano
TP-124,Observação local,Estação Embrapa,Como acompanhar a estação Embrapa no Tempo Pelotas,/estacao-embrapa-pelotas,Média,Conforme dado,Todo o ano
TP-125,Observação local,Estação Embrapa,Dados atrasados: por que o portal sinaliza isso,/estacao-embrapa-pelotas,Média,Conforme dado,Todo o ano
TP-126,Observação local,Estação Embrapa,Medição local em destaque,/estacao-embrapa-pelotas,Média,Conforme dado,Todo o ano
TP-127,Observação local,Estação Embrapa,Do dado bruto ao contexto local,/estacao-embrapa-pelotas,Média,Conforme dado,Todo o ano
TP-128,Meteograma,Hora a Hora,Meteograma: o dia inteiro em uma única leitura,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-129,Meteograma,Hora a Hora,Como ler o meteograma do Tempo Pelotas,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-130,Meteograma,Hora a Hora,Temperatura hora a hora,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-131,Meteograma,Hora a Hora,Chuva hora a hora,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-132,Meteograma,Hora a Hora,Vento hora a hora,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-133,Meteograma,Hora a Hora,Visibilidade: quando acompanhar esse dado,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-134,Meteograma,Hora a Hora,Nebulosidade ao longo do dia,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-135,Meteograma,Hora a Hora,Pressão atmosférica no meteograma,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-136,Meteograma,Hora a Hora,Manhã x tarde x noite no meteograma,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-137,Meteograma,Hora a Hora,O que muda nas próximas 12 horas?,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-138,Meteograma,Hora a Hora,O que muda nas próximas 24 horas?,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-139,Meteograma,Hora a Hora,Meteograma para planejar seu dia,/meteograma-pelotas,Média,Quinzenal,Todo o ano
TP-140,Histórico e clima,Pelotas em Contexto,Como foram os últimos 30 dias em Pelotas?,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-141,Histórico e clima,Pelotas em Contexto,O dia mais quente dos últimos 30 dias,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-142,Histórico e clima,Pelotas em Contexto,O dia mais frio dos últimos 30 dias,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-143,Histórico e clima,Pelotas em Contexto,Quanto choveu nos últimos 30 dias?,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-144,Histórico e clima,Pelotas em Contexto,Maior rajada dos últimos 30 dias,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-145,Histórico e clima,Pelotas em Contexto,Temperatura: esta semana x semana passada,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-146,Histórico e clima,Pelotas em Contexto,Chuva: esta semana x semana passada,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-147,Histórico e clima,Pelotas em Contexto,O tempo de hoje está fora do padrão recente?,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-148,Histórico e clima,Pelotas em Contexto,Clima não é previsão do tempo,/clima-em-pelotas,Média,Semanal,Todo o ano
TP-149,Histórico e clima,Pelotas em Contexto,Como é o clima de Pelotas ao longo do ano?,/clima-em-pelotas,Média,Semanal,Todo o ano
TP-150,Histórico e clima,Pelotas em Contexto,Por que Pelotas tem tanta variação de tempo?,/clima-em-pelotas,Média,Semanal,Todo o ano
TP-151,Histórico e clima,Pelotas em Contexto,30 dias em um gráfico,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-152,Histórico e clima,Pelotas em Contexto,Previsão acertou? Como medir isso com responsabilidade,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-153,Histórico e clima,Pelotas em Contexto,Por que um único dia não mede a qualidade de uma previsão,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-154,Histórico e clima,Pelotas em Contexto,Como o Tempo Pelotas arquiva previsões,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-155,Histórico e clima,Pelotas em Contexto,Observação real ajuda a melhorar a leitura da previsão,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-156,Histórico e clima,Pelotas em Contexto,Histórico para entender o presente,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-157,Histórico e clima,Pelotas em Contexto,Não é recorde só porque parece extremo,/historico-climatico-pelotas,Média,Semanal,Todo o ano
TP-158,Hidrologia,Olho na Lagoa,Nível da Lagoa dos Patos no Laranjal agora,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-159,Hidrologia,Olho na Lagoa,A Lagoa está subindo ou baixando?,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-160,Hidrologia,Olho na Lagoa,Quando foi feita a última leitura no Laranjal?,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-161,Hidrologia,Olho na Lagoa,Como ler o nível da Lagoa no Tempo Pelotas,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-162,Hidrologia,Olho na Lagoa,Nível atual não é previsão de cheia,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-163,Hidrologia,Olho na Lagoa,"Tendência da Lagoa: o que significa subir, estabilizar ou baixar?",/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-164,Hidrologia,Olho na Lagoa,Situação hidrológica regional,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-165,Hidrologia,Olho na Lagoa,Laranjal + São Lourenço do Sul + Arambaré,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-166,Hidrologia,Olho na Lagoa,Laranjal + São José do Norte,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-167,Hidrologia,Olho na Lagoa,Lagoa dos Patos e Guaíba: por que acompanhar os dois?,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-168,Hidrologia,Olho na Lagoa,Água vindo do norte: como o portal acompanha a região,/situacao-hidrologica-pelotas,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-169,Hidrologia,Olho na Lagoa,Nível no Laranjal: resumo das últimas leituras,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-170,Hidrologia,Olho na Lagoa,O que muda quando uma estação fica indisponível?,/situacao-hidrologica-pelotas,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-171,Hidrologia,Olho na Lagoa,Dado atrasado não é dado atual,/situacao-hidrologica-pelotas,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-172,Hidrologia,Olho na Lagoa,Como incorporar o nível do Laranjal em outro site,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-173,Hidrologia,Olho na Lagoa,Widget do nível da Lagoa: informação local reutilizável,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-174,Hidrologia,Olho na Lagoa,Lagoa em alta: onde acompanhar sem boatos,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-175,Hidrologia,Olho na Lagoa,Lagoa em baixa: acompanhe a tendência real,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-176,Hidrologia,Olho na Lagoa,Chuva regional e nível da Lagoa: acompanhe as duas informações,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-177,Hidrologia,Olho na Lagoa,Vento e Lagoa: duas páginas para acompanhar em dias sensíveis,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-178,Hidrologia,Olho na Lagoa,Laranjal antes e depois de um evento de chuva,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-179,Hidrologia,Olho na Lagoa,Mapa mental da hidrologia regional,/situacao-hidrologica-pelotas,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-180,Hidrologia,Olho na Lagoa,Por que o Tempo Pelotas monitora também o Guaíba?,/situacao-hidrologica-pelotas,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-181,Hidrologia,Olho na Lagoa,Hidrologia com horário e fonte,/situacao-hidrologica-pelotas,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-182,Hidrologia,Olho na Lagoa,Compartilhe o nível da Lagoa com o link correto,/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-183,Hidrologia,Olho na Lagoa,"Laranjal em um card: nível, tendência e última leitura",/nivel-da-lagoa-dos-patos-laranjal,Alta,Conforme interesse/condição,Todo o ano; maior frequência em períodos de cheia
TP-184,Geadas,Frio e Geada,Há registro de geada no Rio Grande do Sul?,/mapa-de-geadas-rio-grande-do-sul,Média,Conforme condição,Outono e inverno
TP-185,Geadas,Frio e Geada,Mapa de geadas: como consultar,/mapa-de-geadas-rio-grande-do-sul,Média,Conforme condição,Outono e inverno
TP-186,Geadas,Frio e Geada,Geada prevista x geada registrada,/mapa-de-geadas-rio-grande-do-sul,Média,Conforme condição,Outono e inverno
TP-187,Geadas,Frio e Geada,Frio forte: o que observar além da temperatura mínima,/mapa-de-geadas-rio-grande-do-sul,Média,Conforme condição,Outono e inverno
TP-188,Geadas,Frio e Geada,Geada na região: confira os registros oficiais,/mapa-de-geadas-rio-grande-do-sul,Média,Conforme condição,Outono e inverno
TP-189,Geadas,Frio e Geada,Manhã gelada em Pelotas,/mapa-de-geadas-rio-grande-do-sul,Média,Conforme condição,Outono e inverno
